,Order,Family,Genus,Species,CommonName,TypeLocality
6781,lagomorpha,ochotonidae,ochotona,thomasi,Thomass Pika,"""Valley of Alyk-nor."" Restricted by Formosov (in A. T. Smith et al., 1990) to Alang-nor Lake, NE Qinghai, China (35E35'N, 97E25'E); see also Corbet (1978<i>c</i>)."
6850,lagomorpha,leporidae,lepus,europaeus,European Hare,"Not stated; restricted by Trouessart (1910), to Poland (see discussion in Ognev, 1940:140, who further restricted it to SW Poland)."
7062,erinaceomorpha,erinaceidae,atelerix,albiventris,Four-toed Hedgehog,Probably Senegal or Gambia; see Allen (1939:20).
7182,soricomorpha,soricidae,crocidura,crossei,Crosse's Shrew,"Nigeria, ""Asaba, 150 mi. [241 km] up the Niger River""."
7194,soricomorpha,soricidae,crocidura,fischeri,Fischer's Shrew,"""Nguruman""; northwest of Lake Natron, close to Mt. Sambo, Kenya (near border to Tanzania); see discussion by Moreau et al. (1946) and Aggundey and Schlitter (1986)."
7358,soricomorpha,soricidae,crocidura,tarella,Tarella Shrew,"""Chaya, near Ruchuru, Congo Belge."""
7375,soricomorpha,soricidae,crocidura,whitakeri,Whitakers Shrew,"Morocco, between Morocco City and Mogador, Sierzet."
7431,soricomorpha,soricidae,sylvisorex,morio,Mt. Cameroon Forest Shrew,Cameroon Mountains.
7580,soricomorpha,soricidae,notiosorex,crawfordi,Crawford's Gray Shrew,"USA, Texas, El Paso Co., 2 mi. (3.2 km) above El Paso, ""near Fort Bliss, New Mexico (Practically El Paso Texas)."" (Merriam, 1895<i>b</i>:32)."
7591,soricomorpha,soricidae,sorex,araneus,Common Shrew,"""<i>in</i> <i>Europe cryptis</i>""; restricted to Uppsala, Sweden by Thomas (1911<i>a</i>:143)."
7643,soricomorpha,soricidae,sorex,hosonoi,Azumi Shrew,"""Tokiwa Mura (Maneki, about 900 m altitude, foot of Mt. Gaki, Japan Alps), Kita-Azumi Gun, Nagano Pref., Central Honsyû [= Honshu], Japan""."
7660,soricomorpha,soricidae,sorex,macrodon,Large-toothed Shrew,"""Orizaba, Veracruz, Mexico (altitude 4,200 feet [1280 m])."""
7684,soricomorpha,soricidae,sorex,oreopolus,Mexican Long-tailed Shrew,"""Sierra de Colima, Jalisco, Mexico (altitude 10,000 feet) [= 3,048 m]""."
7719,soricomorpha,soricidae,sorex,sclateri,Sclater's Shrew,"""Tumbala, Chiapas, Mexico (alt. 5000 ft. [1524 m])"""
7744,soricomorpha,soricidae,sorex,ventralis,Chestnut-bellied Shrew,"""Cerro San Felipe, Oaxaca, Mexico (altitude 1000 feet [305 m])."""
7880,soricomorpha,talpidae,talpa,stankovici,Balkan Mole,"Serbia and Montenegro, Pelister Mtns, ""Magarevo Mts., Perister, S. Serbia (Macedonia). Alt. 1000 m."""
7918,chiroptera,pteropodidae,aethalops,aequalis,Borneo Fruit Bat,"Malaysia (N Borneo), Sabah, Mt. Kinabalu, 5,500 ft. (1,833 m)."
7928,chiroptera,pteropodidae,balionycteris,maculata,Spotted-winged Fruit Bat,"Malaysia (N Borneo), Sarawak."
7995,chiroptera,pteropodidae,eidolon,helvum,African Straw-colored Fruit Bat,"Senegal (restricted by K. Andersen, 1907)."
8084,chiroptera,pteropodidae,notopteris,macdonaldi,Fijian Long-tailed Fruit Bat,"Fiji Isls, Viti Levu."
8132,chiroptera,pteropodidae,pteralopex,acrodonta,Fijian Monkey-faced Fruit Bat,"Fiji Isls, Taveuni Isl, Des Voeux Peak, ca. 3,840 ft. (1,170 m)."
8136,chiroptera,pteropodidae,pteralopex,taki,New Georgian Monkey-faced Bat,"Solomon Isls, New Georgia Isl, Marovo Lagoon, 5 km N of Patutiva Village, Mt Javi, 8°31'S, 157°52'E, 50 m."
8245,chiroptera,pteropodidae,pteropus,pelewensis,Pelew Flying Fox,"Micronesia, Caroline Isls, Palau Isl (= Pelew Isls)."
8247,chiroptera,pteropodidae,pteropus,pilosus,Large Pelew Flying Fox,"Micronesia, Caroline Isls, Palau Isls (= Pelew Isls)."
8274,chiroptera,pteropodidae,pteropus,tonganus,Pacific Flying Fox,"Tonga Isls, Tongatapu Isl."
8373,chiroptera,rhinolophidae,rhinolophus,blasii,Blasius's Horseshoe Bat,SE Europe; restricted to Italy by Ellerman et al. (1953:59).
8671,chiroptera,hipposideridae,hipposideros,dinops,Fierce Leaf-nosed Bat,"Solomon Isls, New Georgia Group, Rubiana Isl."
9076,chiroptera,phyllostomidae,monophyllus,plethodon,Insular Single-leaf Bat,"Barbados (Lesser Antilles), St. Michael Parish."
9239,chiroptera,phyllostomidae,ardops,nichollsi,Tree Bat,Dominica (Lesser Antilles).
9309,chiroptera,phyllostomidae,ectophylla,alba,Honduran White Bat,"Honduras (= Río Segovia) (McCarthy et al., 1993)."
9570,chiroptera,molossidae,mops,brachypterus,Short-winged Free-tailed Bat,"Mozambique, Mozambique Isl (15°S, 40°42'E)."
9615,chiroptera,molossidae,myopterus,whitleyi,Bini Winged-mouse Bat,"Nigeria, Mid-Western Region, Benin City."
9888,chiroptera,vespertilionidae,scotophilus,viridis,Green House Bat,"Mozambique, Mozambique Isl, 15°S."
